,tag,center,arch_type,eng_type,block,zone,cut,demo,projmask,blob2,demo-2,cut_mask,blob-mask
mfb_sw_panel_0_71_2,A-0,3848,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_72_1,A-0,3699,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_72_2,A-0,3850,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_73_1,A-0,3701,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_73_2,A-0,3852,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_74_1,A-0,3703,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_74_2,A-0,23981,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_75_1,A-0,23981,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_75_2,A-0,23981,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_0_1,A-0,3707,A,0,SW,L2,1,1,1,2,2,1,2
mfb_sw_panel_1_0_2,A-0,3854,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_1_1,A-0,3709,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_1_2,A-0,3856,A,0,SW,L2,1,1,1,2,2,1,2
mfb_sw_panel_1_2_1,A-0,3711,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_2_2,A-0,3858,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_3_1,A-0,3713,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_3_2,A-0,3860,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_4_1,A-0,3715,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_4_2,A-0,3862,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_5_1,A-0,3717,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_5_2,A-0,3864,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_6_1,A-0,3719,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_6_2,A-0,3866,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_7_1,A-0,3721,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_7_2,A-0,3868,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_8_1,A-0,3723,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_8_2,A-0,3870,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_9_1,A-0,3725,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_9_2,A-0,3872,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_10_1,A-0,3727,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_10_2,A-0,3874,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_11_1,A-0,3729,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_11_2,A-0,3876,A,0,SW,L2,0,1,2,2,2,0,2
mfb_sw_panel_1_12_1,A-0,3731,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_12_2,A-0,3878,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_13_1,A-0,3733,A,0,SW,L2,0,2,2,2,2,0,2
